,Username,Konten,Lokasi
91,kangnugo85,@Teh__L Udh kaya ibuk2 timses Prabowo-Sandi yaa ni style-nya 😀,Hindia Belanda 
92,_____hoheh_____,"@yudisanjaya @zenrs Prabowo bandel banget sih, ribut sama SBY juga kan? Cuma sebagai komandan militer lumayan bagus juga, visi misinya jelas, terutama pas jari mentri",Republik Indonesia
93,melayu_belitung,"@MrsRachelIn ,kan mereka relawan PRABOWO,🤭","Belitung Timur,Bangka Belitung"
94,mdfirdaus5982,"PRABOWO PUAN 2024. PACAK. MENANG. MERDEKA !!!!!

#RumahIndonesia36
#RumahNunukan",Rumah 36
95,tsabit_arafat,@kusnocahlanang @Kadrun_Pribumi @democrazymedia Aku bukan simpatisan Prabowo.. gubernur../ partai..,
96,kusnocahlanang,@Kadrun_Pribumi @Holocau60120735 @democrazymedia capek ngomong sama kadrun gemblung korban php prabowo,
97,Gendutt94,@Mardanputranya Tetep Prabowo no 1,"Cakung, Indonesia"
98,FunderRei,"Dijenguk Kapolri, Begini Kesan Sinta Bocah Penderita Tumor Tentang Jenderal Listyo Sigit Prabowo https://t.co/sQ4UvoeKUr",
99,IndiHomeCare,"@PrabowoAgusDwi Kak Prabowo, pengaduan internetnya saat ini sudah dibantu respon melalui DM ya Kak. Silakan di cek kembali. -Dipa",Indonesia
100,torotrapah,"@CNNIndonesia pak @prabowo coba tanya kader bapak ini, beneran gak?",pinggir kali gede
101,dellafsemiga,@AngrySipelebegu Mbook pemilune wes mari pak prabowo wes dadi mentri sek iyo ae cebong kadrun. Ampun wong pinter 🙏🏿 ampun,Malang
102,jjuwieee,@99__haeilyya Pak prabowo bukan ??,
103,SensorRepublik,@wajahsementara @Naibaho_gt @muhammadrobbah @UmarHasibuan777 Pilpres 2019 pilih Prabowo apa Jokowi?😁,"Madiun, Indonesia"
104,Reilly_Prabowo,"I got pink Croc with Croc hoodie and a fuckin cool sunglass. And of course with the green slime on his mouth. Grwl! 🐊 ❤
@acrocalypseNFT #acrocalypse #NFTCommunity #NFT https://t.co/1Npyb0LU5C","Perth, Western Australia"
105,ericver_s,@starfess kangen prabowo sandii 😭😭,ericsohn love bot.
106,wawan_solo1,@CNNIndonesia @prabowo @Gerindra tolong @fadlizon d tertibkn,"Sukoharjo, Indonesia"
107,IndiHomeCare,"@PrabowoAgusDwi Hallo Kak Prabowo, mengenai laporannya silakan informasikan nomor internet beserta atas namanya terlebih dahulu melalui DM ya Kak, guna mempermudah kami dalam melakukan pengecekan lebih lanjut.... https://t.co/SXQXKGzSmF",Indonesia
108,_huangrenchin_,"@staybetterme @starfess sandi, prabowo sandi",
109,GatraMediaGroup,"Tiga nama sudah mulai merangsek naik ke titik puncak elektabilitas dua tahun menjelang pemilihan presiden (pilpres) 2024. Yakni, Ganjar Pranowo, Prabowo Subianto, dan Anies Baswedan. https://t.co/RURpamR4tV",Indonesia
110,letchugoNia,@starfess prabowo sandi~~,she/her 03l
111,AGUSSADONO1,@RamliRizal Pernah jdi calon mentri prabowo tpi gak punya teman kasihan deh loe,
112,ItBlueDevelope1,@lexiaism Emoh... Pokok prabowo,
113,Promosi22096333,"@bang_dua @Lubis_naborju @NurAini72917449 @AsuheA @bachrum_achmadi Kalah Prabowo ngak efek sama sy krn sy tdk ikut pemilu😂😂😂😂😂,",
114,Syahril24981118,@AIRDROP_SUP @Vielraviel9 @jokowi @prabowo,
115,faisal_bucho,"@dr_koko28 @jokowi Ya Allah pak, ga ada kerjaan lain. Presiden'itu sibuk banget, ga bisa urusan remeh temeh ini langsung ke presiden. Presiden itu sibuk cari dana IKN , sibuk nangkis isu Wadas, sibuk tangkis JHT dipakai IKN, lagi galau antara maju 3 periode, atau jadi wakil Prabowo. Sibuk bgt doi",Jakarta Indonesia
116,rchbl,"@tubagusramadhan Bingung banget mesti ngejelasinnya gimana Be, soalnya dulu dia dukung Prabowo",
117,Yurika01326264,@prabowo,群馬 高崎市
118,cahndhlodhog,SEBAIKNYA PARA WAKIL RAKYAT WABIL KHUSUS @fadlizon.. @sandiuno.. @prabowo.. YG SEKARANG JG SDH IKUT MENGELOLA JALANNYA PEMERINTAHAN UNT BENAR2 BERTINDAK DGN KELANGKAAN2 BAHAN POKOK MAKANAN YG LANGKA.. PELAKU PASAR SDH BANYAK YY BINGUNG..!!!,MEMANTAU..
119,Neovenator2,@72Gar7 @mikepurba @yusfi5150 @eki_azzi @RaraAbila_ @CNNIndonesia Dih buta org pada kaga bener kerjanye yg kerjanye bener cmn AHOK sama pak PRABOWO doang picek mata lu.,Indonesia
120,pidressitubondo,"Potret kepedulian Kapolri Jenderal Polisi Drs. Listyo Sigit Prabowo, https://t.co/pYrIwn6EOR., didampingi Ketua Umum Bhayangkari Ny. Juliati Sigit Prabowo saat membesuk Sinta Aulia, seorang anak perempuan penderita tumor kaki di RS Bhayangkara

@DivHumas_Polri
@HumasPoldaJatim https://t.co/vAsAbdHFQK","Situbondo, Indonesia"
